Name,Description,Category
Karachi,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Lahore,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Islamabad,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Rawalpindi,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Faisalabad,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Multan,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Peshawar,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Quetta,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Sialkot,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Gujranwala,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Hyderabad,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Abbottabad,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Murree,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Sukkur,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Bahawalpur,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Sargodha,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Gujarat,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Larkana,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Sheikhupura,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Jhelum,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Mardan,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Kasur,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Rahim Yar Khan,Rahim | thing | object | item,city, Pakistan, Sindh,Pakistani Cities
Sahiwal,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Okara,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Biryani,thing | object | item | word,rice, meat, curry,Traditional Dishes
Pulao,thing | object | item | word,rice, meat, curry,Traditional Dishes
Nihari,thing | object | item | word,rice, meat, curry,Traditional Dishes
Haleem,thing | object | item | word,rice, meat, curry,Traditional Dishes
Karahi,thing | object | item | word,rice, meat, curry,Traditional Dishes
Korma,thing | object | item | word,rice, meat, curry,Traditional Dishes
Sajji,thing | object | item | word,rice, meat, curry,Traditional Dishes
Chapli Kabab,Chapli | thing | object | item,food, rice, meat,Traditional Dishes
Seekh Kabab,Seekh | thing | object | item,food, rice, meat,Traditional Dishes
Paye,thing | object | item | word,rice, meat, curry,Traditional Dishes
Halwa Puri,Halwa | thing | object | item,food, rice, meat,Traditional Dishes
Saag,thing | object | item | word,rice, meat, curry,Traditional Dishes
Makki Ki Roti,Makki | thing | object | item,food, rice, meat,Traditional Dishes
Daal Chawal,Daal | thing | object | item,food, rice, meat,Traditional Dishes
Aloo Gosht,Aloo | thing | object | item,food, rice, meat,Traditional Dishes
Koftay,thing | object | item | word,rice, meat, curry,Traditional Dishes
Katakat,thing | object | item | word,rice, meat, curry,Traditional Dishes
Chargha,thing | object | item | word,rice, meat, curry,Traditional Dishes
Tikka,thing | object | item | word,rice, meat, curry,Traditional Dishes
Malai Boti,Malai | thing | object | item,food, rice, meat,Traditional Dishes
Reshmi Kabab,Reshmi | thing | object | item,food, rice, meat,Traditional Dishes
Gola Kabab,Gola | thing | object | item,food, rice, meat,Traditional Dishes
Bihari Kabab,Bihari | thing | object | item,food, rice, meat,Traditional Dishes
Kunna,thing | object | item | word,rice, meat, curry,Traditional Dishes
Bong Paye,Bong | thing | object | item,food, rice, meat,Traditional Dishes
Salt,thing | object | item | word,powder, flavor, cooking,Spices
Pepper,thing | object | item | word,powder, flavor, cooking,Spices
Turmeric,thing | object | item | word,powder, flavor, cooking,Spices
Chili,thing | object | item | word,powder, flavor, cooking,Spices
Cumin,thing | object | item | word,powder, flavor, cooking,Spices
Coriander,thing | object | item | word,powder, flavor, cooking,Spices
Cardamom,thing | object | item | word,powder, flavor, cooking,Spices
Cinnamon,thing | object | item | word,powder, flavor, cooking,Spices
Clove,thing | object | item | word,powder, flavor, cooking,Spices
Nutmeg,thing | object | item | word,powder, flavor, cooking,Spices
Saffron,thing | object | item | word,powder, flavor, cooking,Spices
Ginger,thing | object | item | word,powder, flavor, cooking,Spices
Garlic,thing | object | item | word,powder, flavor, cooking,Spices
Anise,thing | object | item | word,powder, flavor, cooking,Spices
Fenugreek,thing | object | item | word,powder, flavor, cooking,Spices
Mustard Seeds,Mustard | thing | object | item,spice, powder, flavor,Spices
Poppy Seeds,Poppy | thing | object | item,spice, powder, flavor,Spices
Sesame,thing | object | item | word,powder, flavor, cooking,Spices
Bay Leaf,Bay | thing | object | item,spice, powder, flavor,Spices
Black Salt,Black | thing | object | item,spice, powder, flavor,Spices
Chaat Masala,Chaat | thing | object | item,spice, powder, flavor,Spices
Garam Masala,Garam | thing | object | item,spice, powder, flavor,Spices
Tamarind,thing | object | item | word,powder, flavor, cooking,Spices
Mint,thing | object | item | word,powder, flavor, cooking,Spices
Basil,thing | object | item | word,powder, flavor, cooking,Spices
Mango,thing | object | item | word,sweet, juice, tree,Fruits
Apple,thing | object | item | word,sweet, juice, tree,Fruits
Banana,thing | object | item | word,sweet, juice, tree,Fruits
Orange,thing | object | item | word,sweet, juice, tree,Fruits
Grapes,thing | object | item | word,sweet, juice, tree,Fruits
Pomegranate,thing | object | item | word,sweet, juice, tree,Fruits
Guava,thing | object | item | word,sweet, juice, tree,Fruits
Watermelon,thing | object | item | word,sweet, juice, tree,Fruits
Melon,thing | object | item | word,sweet, juice, tree,Fruits
Apricot,thing | object | item | word,sweet, juice, tree,Fruits
Peach,thing | object | item | word,sweet, juice, tree,Fruits
Plum,thing | object | item | word,sweet, juice, tree,Fruits
Pear,thing | object | item | word,sweet, juice, tree,Fruits
Strawberry,thing | object | item | word,sweet, juice, tree,Fruits
Cherry,thing | object | item | word,sweet, juice, tree,Fruits
Lychee,thing | object | item | word,sweet, juice, tree,Fruits
Papaya,thing | object | item | word,sweet, juice, tree,Fruits
Pineapple,thing | object | item | word,sweet, juice, tree,Fruits
Coconut,thing | object | item | word,sweet, juice, tree,Fruits
Date,thing | object | item | word,sweet, juice, tree,Fruits
Fig,thing | object | item | word,sweet, juice, tree,Fruits
Mulberry,thing | object | item | word,sweet, juice, tree,Fruits
Kinnow,thing | object | item | word,sweet, juice, tree,Fruits
Falsa,thing | object | item | word,sweet, juice, tree,Fruits
Jamun,thing | object | item | word,sweet, juice, tree,Fruits
Potato,thing | object | item | word,green, salad, cook,Vegetables
Onion,thing | object | item | word,green, salad, cook,Vegetables
Tomato,thing | object | item | word,green, salad, cook,Vegetables
Garlic,thing | object | item | word,green, salad, cook,Vegetables
Ginger,thing | object | item | word,green, salad, cook,Vegetables
Spinach,thing | object | item | word,green, salad, cook,Vegetables
Cauliflower,thing | object | item | word,green, salad, cook,Vegetables
Cabbage,thing | object | item | word,green, salad, cook,Vegetables
Carrot,thing | object | item | word,green, salad, cook,Vegetables
Radish,thing | object | item | word,green, salad, cook,Vegetables
Turnip,thing | object | item | word,green, salad, cook,Vegetables
Peas,thing | object | item | word,green, salad, cook,Vegetables
Okra,thing | object | item | word,green, salad, cook,Vegetables
Eggplant,thing | object | item | word,green, salad, cook,Vegetables
Cucumber,thing | object | item | word,green, salad, cook,Vegetables
Zucchini,thing | object | item | word,green, salad, cook,Vegetables
Pumpkin,thing | object | item | word,green, salad, cook,Vegetables
Bitter Gourd,Bitter | thing | object | item,vegetable, green, salad,Vegetables
Bottle Gourd,Bottle | thing | object | item,vegetable, green, salad,Vegetables
Capsicum,thing | object | item | word,green, salad, cook,Vegetables
Chili,thing | object | item | word,green, salad, cook,Vegetables
Coriander,thing | object | item | word,green, salad, cook,Vegetables
Mint,thing | object | item | word,green, salad, cook,Vegetables
Lemon,thing | object | item | word,green, salad, cook,Vegetables
Beetroot,thing | object | item | word,green, salad, cook,Vegetables
Shalwar,thing | object | item | word,dress, traditional, cloth,Clothing
Kameez,thing | object | item | word,dress, traditional, cloth,Clothing
Kurta,thing | object | item | word,dress, traditional, cloth,Clothing
Dupatta,thing | object | item | word,dress, traditional, cloth,Clothing
Sari,thing | object | item | word,dress, traditional, cloth,Clothing
Lehnga,thing | object | item | word,dress, traditional, cloth,Clothing
Sherwani,thing | object | item | word,dress, traditional, cloth,Clothing
Waistcoat,thing | object | item | word,dress, traditional, cloth,Clothing
Turban,thing | object | item | word,dress, traditional, cloth,Clothing
Scarf,thing | object | item | word,dress, traditional, cloth,Clothing
Shawl,thing | object | item | word,dress, traditional, cloth,Clothing
Ajrak,thing | object | item | word,dress, traditional, cloth,Clothing
Topi,thing | object | item | word,dress, traditional, cloth,Clothing
Vest,thing | object | item | word,dress, traditional, cloth,Clothing
Jacket,thing | object | item | word,dress, traditional, cloth,Clothing
Coat,thing | object | item | word,dress, traditional, cloth,Clothing
Sweater,thing | object | item | word,dress, traditional, cloth,Clothing
Socks,thing | object | item | word,dress, traditional, cloth,Clothing
Gloves,thing | object | item | word,dress, traditional, cloth,Clothing
Tie,thing | object | item | word,dress, traditional, cloth,Clothing
Belt,thing | object | item | word,dress, traditional, cloth,Clothing
Trousers,thing | object | item | word,dress, traditional, cloth,Clothing
Jeans,thing | object | item | word,dress, traditional, cloth,Clothing
Shirt,thing | object | item | word,dress, traditional, cloth,Clothing
Frock,thing | object | item | word,dress, traditional, cloth,Clothing
Chair,thing | object | item | word,wood, sit, home,Furniture
Table,thing | object | item | word,wood, sit, home,Furniture
Sofa,thing | object | item | word,wood, sit, home,Furniture
Bed,thing | object | item | word,wood, sit, home,Furniture
Cupboard,thing | object | item | word,wood, sit, home,Furniture
Wardrobe,thing | object | item | word,wood, sit, home,Furniture
Cabinet,thing | object | item | word,wood, sit, home,Furniture
Desk,thing | object | item | word,wood, sit, home,Furniture
Stool,thing | object | item | word,wood, sit, home,Furniture
Bench,thing | object | item | word,wood, sit, home,Furniture
Bookshelf,thing | object | item | word,wood, sit, home,Furniture
